movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry,terminal_name,regional_hub,shift,fiscal_year,quarter,month,build_year,vessel_age,suez_period,terminal_total_movements,utilization,load_segment,regional_avg_duration,pct_above_regional,global_avg_duration,pct_above_global,month_name,year_month
637,2024-07-28,Cargo_833,833,Cargo,197,415,211.68285195764648,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tammy Strong,EMEA,Night,2024,3,7,1982,,Post-Suez,47,1.52,High Load,495.1797462581356,-57.3,499.53,-57.6,Jul 2024,2024-07
637,2024-07-28,Cargo_833,833,Cargo,197,415,211.68285195764648,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tammy Strong,EMEA,Night,2024,3,7,1902,,Post-Suez,47,1.52,High Load,495.1797462581356,-57.3,499.53,-57.6,Jul 2024,2024-07
637,2024-07-28,Cargo_833,833,Cargo,197,415,211.68285195764648,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tammy Strong,EMEA,Night,2024,3,7,2013,13.0,Post-Suez,47,1.52,High Load,495.1797462581356,-57.3,499.53,-57.6,Jul 2024,2024-07
266,2022-03-18,Passenger_847,84,Passenger,490,342,832.5199291748445,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Elizabeth Norman,AMER,Night,2022,1,3,2003,23.0,Post-Suez,42,1.35,High Load,501.3849927507171,66.0,499.53,66.7,Mar 2022,2022-03
266,2022-03-18,Passenger_847,84,Passenger,490,342,832.5199291748445,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Elizabeth Norman,AMER,Night,2022,1,3,1916,,Post-Suez,42,1.35,High Load,501.3849927507171,66.0,499.53,66.7,Mar 2022,2022-03
266,2022-03-18,Passenger_847,84,Passenger,490,342,832.5199291748445,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Elizabeth Norman,AMER,Night,2022,1,3,2008,18.0,Post-Suez,42,1.35,High Load,501.3849927507171,66.0,499.53,66.7,Mar 2022,2022-03
601,2022-02-15,Tanker_65,65,Tanker,99,115,613.9921161163146,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Kayla Mitchell,APAC,Day,2022,1,2,1945,,Post-Suez,34,1.1,Normal,509.19575666156277,20.6,499.53,22.9,Feb 2022,2022-02
274,2023-12-08,Tanker_179,179,Tanker,197,55,69.30211736066761,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tammy Strong,EMEA,Night,2023,4,12,1962,,Post-Suez,47,1.52,High Load,495.1797462581356,-86.0,499.53,-86.1,Dec 2023,2023-12
274,2023-12-08,Tanker_179,179,Tanker,197,55,69.30211736066761,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tammy Strong,EMEA,Night,2023,4,12,1923,,Post-Suez,47,1.52,High Load,495.1797462581356,-86.0,499.53,-86.1,Dec 2023,2023-12
118,2024-06-25,Passenger_49,49,Passenger,490,695,862.7093488844175,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Elizabeth Norman,AMER,Night,2024,2,6,1948,,Post-Suez,42,1.35,High Load,501.3849927507171,72.1,499.53,72.7,Jun 2024,2024-06
254,2024-11-03,Tanker_174,174,Tanker,395,968,55.75524044441504,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Shawn Martinez,APAC,Day,2024,4,11,1965,,Post-Suez,32,1.03,Normal,509.19575666156277,-89.1,499.53,-88.8,Nov 2024,2024-11
254,2024-11-03,Tanker_174,174,Tanker,395,968,55.75524044441504,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Shawn Martinez,APAC,Day,2024,4,11,1947,,Post-Suez,32,1.03,Normal,509.19575666156277,-89.1,499.53,-88.8,Nov 2024,2024-11
