movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry
637,2024-07-28,Cargo_833,833,Cargo,197,415,211.68285195764648,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
266,2022-03-18,Passenger_847,84,Passenger,490,342,832.5199291748445,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
601,2022-02-15,Tanker_65,65,Tanker,99,115,613.9921161163146,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
274,2023-12-08,Tanker_179,179,Tanker,197,55,69.30211736066761,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
118,2024-06-25,Passenger_49,49,Passenger,490,695,862.7093488844175,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
254,2024-11-03,Tanker_174,174,Tanker,395,968,55.75524044441504,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
275,2024-11-26,Tanker_304,304,Tanker,957,325,28.77061880178511,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
135,2022-02-01,Passenger_217,217,Passenger,374,844,833.7471775451735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
23,2024-01-18,Tanker_640,640,Tanker,529,602,13.02370655939422,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
944,2022-06-08,Passenger_892,892,Passenger,705,304,88.43409430613525,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
513,2022-11-02,Container_926,92,Container,99,567,16.95300169559999,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
402,2023-03-23,Passenger_120,120,Passenger,197,129,880.2787425208221,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
930,2022-11-16,Container_297,297,Container,930,338,44.69548847133365,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
224,2023-07-15,Container_180,180,Container,350,735,372.6798144841057,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
403,2023-11-26,Tanker_705,705,Tanker,627,852,216.9923699368877,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
847,2024-07-11,Container_796,796,Container,369,220,341.66101283795314,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
632,2024-07-17,Container_457,457,Container,529,911,290.5926144659744,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
399,2024-07-12,Container_997,997,Container,272,606,887.8717257907718,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
256,2022-11-18,Passenger_234,234,Passenger,737,229,768.7055556533724,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
35,2021-12-14,Tanker_21,21,Tanker,131,779,885.0168758955735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
85,2024-03-02,Tanker_443,443,Tanker,371,881,720.0426155098359,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
162,2024-02-27,Container_857,857,Container,705,272,330.3480902107726,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
787,2024-04-30,Container_442,442,Container,154,105,185.8451195563028,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
